<name>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i>
Сбербанк,07/12/16,00:00,137.55,140.47,136.90,140.40,6379971,0
Сбербанк,07/13/16,00:00,140.29,141.35,137.88,139.40,8567001,0
Сбербанк,07/14/16,00:00,140.00,140.65,137.57,140.00,6135291,0
Сбербанк,07/15/16,00:00,139.39,139.74,137.25,138.12,5355179,0
Сбербанк,07/18/16,00:00,138.43,139.93,137.90,139.93,4693276,0
Сбербанк,07/19/16,00:00,139.75,141.10,138.42,139.47,5321998,0
Сбербанк,07/20/16,00:00,139.55,140.00,137.41,138.57,6345100,0
Сбербанк,07/21/16,00:00,139.30,139.85,137.80,138.50,3241772,0
Сбербанк,07/22/16,00:00,137.86,138.87,137.57,137.80,3362113,0
Сбербанк,07/25/16,00:00,138.20,138.66,135.50,136.00,4709161,0
Сбербанк,07/26/16,00:00,136.20,136.70,133.33,135.75,6511217,0
Сбербанк,07/27/16,00:00,136.10,137.60,135.20,136.90,6246327,0
Сбербанк,07/28/16,00:00,137.00,137.34,134.82,136.85,5641155,0
Сбербанк,07/29/16,00:00,136.57,139.81,135.93,139.15,5919389,0
Сбербанк,08/01/16,00:00,140.00,141.21,137.59,138.52,4715387,0
Сбербанк,08/02/16,00:00,138.45,138.60,135.00,135.06,5723014,0
Сбербанк,08/03/16,00:00,134.73,136.20,134.27,135.73,4679006,0
Сбербанк,08/04/16,00:00,136.47,137.60,136.02,137.14,4161313,0
Сбербанк,08/05/16,00:00,137.48,138.89,137.31,138.69,4450046,0
Сбербанк,08/08/16,00:00,139.01,140.10,138.00,139.45,4354444,0
Сбербанк,08/09/16,00:00,139.21,140.25,137.85,139.20,5233438,0
Сбербанк,08/10/16,00:00,139.20,139.80,138.14,138.30,3620822,0
Сбербанк,08/11/16,00:00,138.16,139.74,137.68,139.70,3836308,0
Сбербанк,08/12/16,00:00,140.20,141.39,139.10,139.45,4440857,0
Сбербанк,08/15/16,00:00,140.25,140.49,138.86,139.50,4024625,0
Сбербанк,08/16/16,00:00,139.50,141.08,138.03,138.10,6497685,0
Сбербанк,08/17/16,00:00,138.20,138.80,137.17,138.44,4275459,0
Сбербанк,08/18/16,00:00,138.72,140.14,136.20,137.00,6219211,0
Сбербанк,08/19/16,00:00,137.70,137.70,135.52,135.80,4260110,0
Сбербанк,08/22/16,00:00,135.15,137.47,134.60,137.37,4752840,0
Сбербанк,08/23/16,00:00,137.00,140.48,136.90,140.35,5922456,0
Сбербанк,08/24/16,00:00,139.70,140.50,138.52,139.50,4646633,0
Сбербанк,08/25/16,00:00,139.99,142.90,139.67,142.84,7607881,0
Сбербанк,08/26/16,00:00,143.20,145.60,143.20,145.25,7519570,0
Сбербанк,08/29/16,00:00,144.47,144.47,142.51,143.55,4565696,0
Сбербанк,08/30/16,00:00,143.58,145.30,143.18,143.18,5050027,0
Сбербанк,08/31/16,00:00,143.20,144.05,142.55,143.50,4530583,0
Сбербанк,09/01/16,00:00,143.96,144.78,143.60,144.25,4196310,0
Сбербанк,09/02/16,00:00,144.45,147.09,143.82,146.88,5384556,0
Сбербанк,09/05/16,00:00,147.50,149.60,147.09,149.50,5960030,0
Сбербанк,09/06/16,00:00,149.80,150.81,149.06,150.64,6019987,0
Сбербанк,09/07/16,00:00,150.95,155.03,150.92,154.33,9530049,0
Сбербанк,09/08/16,00:00,155.23,156.25,152.67,153.45,6475283,0
Сбербанк,09/09/16,00:00,152.71,152.84,151.22,151.60,3378655,0
Сбербанк,09/12/16,00:00,149.73,151.69,148.65,151.43,5612424,0
Сбербанк,09/13/16,00:00,151.50,152.10,149.25,149.80,3617759,0
Сбербанк,09/14/16,00:00,149.85,151.55,149.35,150.86,3873008,0
Сбербанк,09/15/16,00:00,150.51,150.78,148.06,149.14,4515229,0
Сбербанк,09/16/16,00:00,149.30,149.68,147.00,147.00,4992908,0
Сбербанк,09/19/16,00:00,148.80,149.91,148.07,148.66,3898637,0
Сбербанк,09/20/16,00:00,148.12,149.40,147.04,149.30,3519721,0
Сбербанк,09/21/16,00:00,149.85,151.54,149.72,150.67,4382561,0
Сбербанк,09/22/16,00:00,152.54,154.50,151.62,154.18,6619251,0
Сбербанк,09/23/16,00:00,153.73,153.76,150.13,151.50,5120187,0
Сбербанк,09/26/16,00:00,149.90,152.45,148.70,149.10,5207857,0
Сбербанк,09/27/16,00:00,149.55,149.69,147.28,147.53,4047655,0
